b-axis
2.5
3.2
2.3
3.9
1.5
1.6
2.5
1.5
1.4
4.6
3.4
22.5
2
2.3
5.3
2.7
3
3.6
6
2.3
2.2
2.8
1.9
3.5
4.7
1.5
2.9
2.2
3.4
1.3
1.8
2.6
2.4
3
6.2
3
12
6.2
2.8
2.3
4
2
2.6
2.2
1.6
2.7
1.6
2.5
2.8
4.7
2.8
3.5
2.6
1.9
2
2.5
1.9
2
2.3
2.1
7.7
2.9
2.4
1.8
2
16.8
2
1.8
3.8
3.8
2.5
3.5
3.7
10.2
2.6
7.7
2.6
3.1
2.7
1.5
2.5
3.5
3.3
2.1
1.7
2.2
1.7
4.7
1.9
3
1.3
4
1.7
1.9
1.4
2.6
4.8
1.7
2.1
2
1.9
2.5
1.3
2.2
2.5
2
4.3
2.6
3.9
2
2
1.7
2.5
2.5
4.7
5.9
2.8
2.6
2
2.2
2.3
1.4
2.7
1.9
5
1.8
1.8
1.4
2.9
1.5
2.6
2.1
7.6
6
4.2
8.3
2.9
3.6
1.4
1.7
4.7
2.5
2.2
3.5
2.7
3
4.1
1.6
1.5
2.2
3.8
1.7
1.9
2.7
1.9
2.1
3
2.8
1.9
3.9
3.2
4
3.9
2.3
2.7
2
2.1
1.8
2.7
2
2.5
1.8
2.4
5.5
2.1
2.5
2
3
2
2.8
2.8
2.8
2.4
9.9
3.1
4.5
18.3
22.5
7.6
4.6
3.9
10.7
3.5
2.9
5.7
2.9
2.7
12.7
2.5
6.7
1.9
4.2
3.2
4.3
5.2
4.6
2.8
7.9
4.4
4.3
5.3
12.2
4.5
2.2
10
2.8
5.6
3.9
6.8
3
2.2
2.7
3.5
10
2.8
6.9
3.7
2.5
3
1.7
16.4
9.6
10.1
2.8
3.2
2.6
9.9
2.7
4.3
4.4
2.7
1.7
1.9
2.1
4.9
4.4
3.2
3.5
9.6
7.3
3.1
